"","Operator","count","Fatal","Ratio"
"412","Saha Airline Services",2,42,0.201923076923077
"413","Sakha Airlines",2,37,1
"414","Salair",2,4,1
"415","SAM Colombia",2,178,1
"416","Sasco Air Lines",2,24,1
"417","SATA",2,71,0.771739130434783
"418","SATCO",2,7,0.241379310344828
"419","Saturn Airways",2,6,1
"420","Savanair",2,7,0.291666666666667
"421","SAVCO",2,13,1
"422","SCADTA",2,5,1
"423","SceniAirlines",2,17,1
"424","Scibe Airlift Cargo Zaire",2,39,1
"425","Service Air",2,10,1
"426","Servivensa",2,8,0.222222222222222
"427","Sibir Airlines",2,124,1
"428","Singapore Airlines",2,85,0.469613259668508
"429","Skyline Airways",2,14,1
"430","Skypower Express Airways",2,6,0.1875
"431","Skyways of London",2,11,0.174603174603175
"432","Sobelair SA (Belgium)",2,141,1
"433","Sociedad Aeronautica Medellin",2,48,1
"434","Solomon Islands Airlines",2,26,1
"435","South PacifiIsland Airways",2,11,0.458333333333333
"436","Southcentral Air",2,7,0.7
"437","Southern Airways",2,137,0.85625
"438","Southwest Air",2,16,0.888888888888889
"439","Southwest Airlines",2,0,0
"440","Syrian Airways",2,28,0.823529411764706
"441","TAESA",2,30,1
"442","TAN",2,130,0.87248322147651
"443","TAO",2,10,0.833333333333333
"444","Taxader Airlines",2,44,0.758620689655172
"445","Telford Aviation",2,9,1
"446","Tigres Voladores",2,44,1
"447","Trans Continental Air Transport",2,13,1
"448","Trans Guyana Airways",2,3,0.375
"449","Trans Service Airlift",2,144,0.872727272727273
"450","Trans World Airlines / Private",2,28,0.166666666666667
"451","Transafrik",2,23,1
"452","Transasia Airways",2,6,1
"453","Transportes Aí©reos Mexicanos",2,4,0.8
"454","Union Airways",2,7,0.777777777777778
"455","United Air Lines / Trans World Airlines",2,256,1
"456","United Airways",2,36,1
"457","Universal Airlines",2,16,0.727272727272727
"458","Universal Jet Aviation",2,5,1
"459","Uzbekistan Airways",2,39,0.557142857142857
"460","ValuJet",2,110,0.63953488372093
"461","Vanair",2,16,0.761904761904762
"462","Vayudoot",2,45,1
"463","Vieques Air Link",2,14,0.736842105263158
"464","Vietnam Airlines",2,95,0.979381443298969
"465","VOTEC",2,25,0.892857142857143
"466","VoteTaxi Aí©reo",2,16,1
"467","West Caribbean Airways",2,168,0.96551724137931
"468","Western Canada Airways",2,5,0.833333333333333
"469","Wien Consolidated Airlines",2,40,0.909090909090909
"470","Wuhan Airlines",2,58,0.734177215189873
"471","Yakutavia",2,17,0.586206896551724
"472","Yemen Airlines",2,13,1
"473","Yute Air Alaska - Air Taxi",2,5,0.416666666666667
"474","Aí©reo Ruta Maya",1,11,0.785714285714286
"475","Aí©rotaxi Cachanilla",1,8,1
"476","Ababeel Aviaition",1,4,1
"477","Abakan Airlines",1,3,0.157894736842105
"478","Aca-Ancargo",1,44,1
"479","Ace Flying Service",1,2,1
"480","Acme Air",1,2,1
"481","Action Air Express Inc. - Air Taxi",1,2,1
"482","Action Airlines",1,8,0.888888888888889
"483","Adam Air",1,102,1
"484","Advance Airlines",1,13,1
"485","AECA Cargo",1,4,1
"486","Aegler Stuart Flying Service  / Private",1,4,0.8
"487","Aer Turas",1,2,1
"488","Aeralpi",1,4,0.8
"489","Aerevias Centrales Air Service",1,1,1
"490","Aerial Transit Company",1,3,1
"491","Aero Air",1,3,1
"492","Aero Cargo",1,1,0.0526315789473684
"493","Aero Club Libya",1,14,1
"494","Aero Clube de Volta Redonda",1,4,1
"495","Aero Condor",1,10,1
"496","Aero Cozumel",1,6,0.315789473684211
"497","Aero Ejecutivos",1,3,1
"498","Aero Eslava",1,4,1
"499","Aero Ferinco Charter",1,19,1
"500","Aero France",1,11,1
"501","Aero Holland",1,34,0.971428571428571
"502","Aero Jet Express",1,4,1
"503","Aero Lloyd",1,5,1
"504","Aero Mayflower Transit Co",1,3,1
"505","Aero National - Air Taxi",1,4,1
"506","Aero PaLease - Air Taxi",1,2,1
"507","Aero Pantanal - Air Taxi",1,6,1
"508","Aero Peru",1,12,0.173913043478261
"509","Aero Sudpacifico",1,9,1
"510","Aero Taxis Equatorianos",1,22,0.916666666666667
"511","Aero Transportes",1,8,1
"512","Aero Tropical",1,8,1
"513","Aero-Tropics",1,15,1
"514","Aerocalifornia",1,21,1
"515","Aerocaribbean - Charter",1,34,1
"516","Aerochasqui",1,15,1
"517","Aerocom",1,7,1
"518","Aerocondor",1,5,1
"519","Aerocondor de Colombia",1,17,0.288135593220339
"520","Aerocontroctors - Charter",1,3,0.6
"521","Aerocord",1,9,1
"522","Aerocosta Colombia",1,2,0.5
"523","Aeroejecutivos Colombia",1,2,0.222222222222222
"524","Aeroespresso",1,2,0.222222222222222
"525","Aeroextra",1,3,1
"526","Aeroflite Services",1,2,1
"527","Aeroflot / Soviet Air Force",1,76,1
"528","Aeroflot Russian International Airways",1,75,1
"529","Aerogulf",1,7,1
"530","Aerolatino (Aerocaribe)",1,1,0.0555555555555556
"531","Aeroleasing - Air Taxi",1,5,1
"532","Aeroleo Taxi Aereo",1,11,1
"533","Aerolift Philippines",1,21,1
"534","Aerolineas Argo",1,5,1
"535","Aerolineas Condor",1,44,1
"536","Aerolineas Cuahonte",1,9,1
"537","Aerolineas El Salvador",1,2,1
"538","Aerolineas La Gaviola",1,9,1
"539","Aerolineas La Paz",1,5,1
"540","Aerolineas Litoral Argentina",1,28,0.933333333333333
"541","Aerolineas Nacionales",1,60,1
"542","Aeromexico / Private",1,67,1
"543","Aeromist-Kharkiv",1,44,1
"544","Aeronautical Services - Air Taxi",1,3,1
"545","Aeronaves de Panama",1,6,1
"546","Aeronaves del Peru",1,3,0.428571428571429
"547","Aeronor Chile",1,46,1
"548","Aeronorte",1,9,1
"549","Aeropeca",1,18,1
"550","Aeropol",1,3,1
"551","Aeropostale - La Tecoere Company",1,6,1
"552","Aeroput",1,8,1
"553","Aeroservice International",1,2,1
"554","Aeroservice S de RL",1,6,1
"555","Aeroservicios Empresariales de Durango",1,16,0.842105263157895
"556","Aerosweet Airlines (LVOV)",1,70,1
"557","Aerotaxi Manaus",1,24,0.857142857142857
"558","Aerotechnia",1,7,1
"559","Aerotransportes Petroleros",1,3,0.428571428571429
"560","Aerotuy airline",1,1,0.0909090909090909
"561","Aerovalles",1,6,1
"562","Aerovanguardia",1,3,1
"563","Aerovias Condor",1,2,0.5
"564","Aerovias Cuba International",1,12,1
"565","Aerovias del Norte",1,10,1
"566","Aerovias del Valle",1,10,1
"567","Aerovias Guest",1,25,1
"568","Aerovias Halcon",1,1,0.0625
"569","Aerovias Rojas",1,18,1
"570","Aerovias Urraca",1,22,0.785714285714286
"571","Aerovias Venezolanas SA (Venezuela)",1,77,1
"572","Africa One Congo",1,21,0.954545454545455
"573","African Air",1,2,0.333333333333333
"574","African Commuter Services",1,3,0.230769230769231
"575","Agape Flight Inc.",1,2,0.666666666666667
"576","Agco Corp",1,5,1
"577","Agee Flying Service - Air Taxi",1,4,1
"578","AIDA",1,14,0.875
"579","Air  Mali",1,47,0.783333333333333
"580","Air 70",1,10,1
"581","Air Affaires Gabon",1,12,1
"582","Air Albatross",1,8,0.888888888888889
"583","Air Ambulance - Med-Trans Corp.",1,4,0.8
"584","Air ambulance - Mercy Air Services",1,3,1
"585","Air Amercia",1,5,1
"586","Air Angles Inc.",1,4,1
"587","Air Anguilla",1,11,1
"588","Air Bissau",1,3,0.230769230769231
"589","Air Bleu",1,1,0.5
"590","Air Cameroon",1,4,1
"591","Air Caraibes",1,19,1
"592","Air Cargo Carriers",1,3,1
"593","Air Cargo Express",1,2,1
"594","Air Carriers Express Services Inc",1,17,1
"595","Air Central",1,5,1
"596","Air Chaparral - Air Taxi",1,2,1
"597","Air Charter - Tanzanian Air Services",1,3,0.5
"598","Air China",1,128,0.771084337349398
"599","Air Comores",1,15,0.9375
"600","Air Continental",1,3,1
"601","Air East",1,12,0.705882352941177
"602","Air Ferry",1,2,1
"603","Air Ferry Ltd",1,88,1
"604","Air Fiji",1,17,1
"605","Air Flamence",1,1,1
"606","Air Florida",1,74,0.936708860759494
"607","Air Gabon",1,3,1
"608","Air Gaspí©",1,4,1
"609","Air Georgian",1,1,1
"610","Air Global",1,2,1
"611","Air Guinee",1,15,0.882352941176471
"612","Air Haiti International",1,3,1
"613","Air Hawaii",1,5,1
"614","Air Illinois",1,10,1
"615","Air Iowa",1,6,1
"616","Air Ivoire",1,6,1
"617","Air Ivorie",1,17,1
"618","Air Jordan",1,10,0.666666666666667
"619","Air Karibu",1,7,1
"620","Air Kasai",1,14,1
"621","Air Lanka",1,22,0.146666666666667
"622","Air Liberia",1,8,0.888888888888889
"623","Air Luxor",1,7,1
"624","Air Malawi",1,10,1
"625","Air Martinique",1,6,1
"626","Air Mauritanie",1,80,0.860215053763441
"627","Air Melanesie",1,1,0.125
"628","Air Memphis",1,6,1
"629","Air Methods / ClassiHelicopters",1,6,0.857142857142857
"630","Air Moorea",1,20,1
"631","Air New England",1,1,0.1
"632","Air Niagara",1,2,1
"633","Air North",1,1,0.333333333333333
"634","Air North Queensland",1,11,1
"635","Air Ocean",1,16,1
"636","Air Ohio - Air Taxi",1,2,1
"637","Air One Executive",1,2,1
"638","Air Ontario",1,24,0.347826086956522
"639","Air Outre-Mer",1,3,1
"640","Air Outremer",1,18,1
